id,name,now_cost,team,element_type,status
288,Armel Traore,44,11,2,u
289,Jordan Goodwin,75,11,1,a
361,Dorian Finney-Smith,79,11,2,a
379,Shake Milton,49,11,1,a
539,Alex Len,45,11,2,a
618,Christian Koloko,50,11,2,a
186,Andrew Wiggins,95,12,2,i
205,Kyle Anderson,84,12,2,a
290,Kevin Love,83,12,2,i
292,Dru Smith,54,12,1,u
295,Bam Adebayo,149,12,2,a
296,Tyler Herro,125,12,1,a
297,Duncan Robinson,89,12,2,i
298,Nikola Jovic,63,12,2,i
299,Haywood Highsmith,54,12,2,a
300,Jaime Jaquez Jr.,99,12,2,a
302,Caleb Daniels,45,12,1,u
303,Terry Rozier,128,12,1,a
304,Cheick Diallo,45,12,2,u
305,Alec Burks,59,12,1,a
306,Josh Christopher,48,12,1,a
307,Keshad Johnson,44,12,2,a
308,Pelle Larsson,44,12,1,a
310,Isaiah Stevens,45,12,1,a
311,Kel'el Ware,59,12,2,a
493,Nassir Little,50,12,2,u
608,Davion Mitchell,50,12,1,a
821,Warren Washington,45,12,2,u
71,Pete Nance,45,13,2,a
258,Kevin Porter Jr.,69,13,1,a
312,Liam Robbins,44,13,2,u
313,Taurean Prince,69,13,2,a
315,Giannis Antetokounmpo,179,13,2,d
317,Bobby Portis,99,13,2,s
318,Brook Lopez,110,13,2,a
319,Pat Connaughton,53,13,1,a
320,Thanasis Antetokounmpo,45,13,2,u
322,Lindell Wigginton,45,13,1,u
323,A.J. Green,50,13,1,d
325,Andre Jackson Jr.,49,13,1,a
326,Chris Livingston,44,13,2,a
327,Omari Moore,45,13,1,u
329,Patrick Beverley,60,13,1,u
330,Damian Lillard,150,13,1,i
331,Danilo Gallinari,55,13,2,u
332,Ryan Rollins,45,13,1,a
333,Jaylin Galloway,45,13,2,u
334,Gary Trent Jr.,89,13,1,a
335,Stanley Umude,49,13,1,a
337,Anzejs Pasecniks,45,13,2,u
338,Tyler Smith,43,13,2,a
339,James Akinjo,45,13,1,u
388,Jericho Sims,47,13,2,i
557,Jamaree Bouyea,45,13,1,a
717,Kyle Kuzma,134,13,2,a
811,Terence Davis,45,13,1,u
827,Henry Ellenson,45,13,2,u
240,Bones Hyland,53,14,1,a
283,Skylar Mays,45,14,1,u
341,Rudy Gobert,139,14,2,a
342,Anthony Edwards,159,14,1,a
343,Naz Reid,95,14,2,a
344,Jaden McDaniels,84,14,2,a
345,Josh Minott,44,14,2,a
346,Luka Garza,47,14,2,a
347,Mike Conley,99,14,1,a
348,Nickeil Alexander-Walker,64,14,1,a
349,Jaylen Clark,44,14,1,a
350,Leonard Miller,43,14,2,a
352,Trevor Keels,45,14,1,u
354,Justin Jackson,50,14,2,u
356,Joe Ingles,53,14,2,a
357,Rob Dillingham,63,14,1,a
358,PJ Dozier,49,14,1,u
359,Jesse Edwards,44,14,2,a
360,Terrence Shannon Jr.,49,14,1,i
383,Keita Bates-Diop,50,14,2,u
384,Donte DiVincenzo,103,14,1,a
385,Julius Randle,150,14,2,a
449,Tristen Newton,44,14,1,a
792,Jaedon LeDee,45,14,2,u
