id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 10 - Day 1,Gameweek 10 - Day 2,Gameweek 10 - Day 3,Gameweek 10 - Day 4,Gameweek 10 - Day 5,Gameweek 10 - Day 6,Gameweek 11 - Day 1,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7
125,Dwight Powell,7,49,2,2.4,2.52,1.35,1.5,0.6000000000000001,-0.5,7.869999999999999,8.21,8.29,7.52,0.0,7.55,0.0,7.97,0.0,0.0,8.06,0.0,7.71,0.0
126,Jaden Hardy,7,48,1,6.0,1.44,0.75,0.6000000000000001,0.30000000000000004,-0.8,8.29,8.61,8.76,7.85,0.0,8.12,0.0,8.19,0.0,0.0,8.52,0.0,8.11,0.0
130,Brandon Williams,7,65,1,10.8,2.88,6.1499999999999995,4.199999999999999,0.6000000000000001,-1.8,22.83,23.93,24.51,21.5,0.0,22.32,0.0,22.88,0.0,0.0,23.37,0.0,21.99,0.0
131,Daniel Gafford,7,100,2,8.9,7.8,1.9500000000000002,2.7,4.199999999999999,-1.4,24.15,25.07,25.26,23.48,0.0,22.95,0.0,24.49,0.0,0.0,24.93,0.0,24.34,0.0
132,P.J. Washington,7,105,2,15.9,9.36,3.3000000000000003,3.5999999999999996,3.5999999999999996,-2.6,33.16,34.46,34.86,31.83,0.0,31.9,0.0,33.28,0.0,0.0,34.12,0.0,32.91,0.0
133,Klay Thompson,7,84,1,11.0,3.12,1.9500000000000002,0.8999999999999999,0.8999999999999999,-0.8,17.069999999999997,17.67,17.95,16.32,0.0,16.66,0.0,16.9,0.0,0.0,17.69,0.0,16.76,0.0
134,Anthony Davis,7,165,2,19.6,12.239999999999998,4.800000000000001,3.5999999999999996,4.800000000000001,-1.7,43.34,44.88,45.35,41.88,0.0,41.67,0.0,43.47,0.0,0.0,44.93,0.0,43.06,0.0
135,Max Christie,7,79,1,11.8,3.84,2.8499999999999996,1.2000000000000002,1.2000000000000002,-1.2,19.69,20.42,20.78,18.81,0.0,19.19,0.0,19.51,0.0,0.0,20.4,0.0,19.31,0.0
137,Moussa Cisse,7,44,2,2.9,3.9599999999999995,0.30000000000000004,0.6000000000000001,3.3000000000000003,-0.7,10.360000000000001,10.74,10.78,10.3,0.0,9.65,0.0,10.61,0.0,0.0,10.78,0.0,10.79,0.0
139,Cooper Flagg,7,124,2,17.3,7.56,4.949999999999999,3.9000000000000004,2.0999999999999996,-2.2,33.61,34.95,35.49,32.05,0.0,32.61,0.0,33.59,0.0,0.0,34.61,0.0,32.94,0.0
