R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
95,Amen Thompson,"PG,SG,SF,PF",HOU,7,35.3,0.542(6.4/11.9),0.369(1.0/2.7),0.3,14.1,9.7,4.4,1.7,1.0,1.7,1.41
96,Malik Monk,"PG,SG,SF",SAC,10,31.1,0.486(7.0/14.4),0.778(2.1/2.7),2.3,18.4,3.4,5.0,0.8,0.5,3.2,1.39
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,Jalen Green,"PG,SG",HOU,15,34.7,0.410(7.5/18.2),0.761(3.4/4.5),2.8,21.1,5.9,4.7,1.0,0.4,2.3,1.38
98,Keon Ellis,"PG,SG,SF",SAC,16,28.2,0.486(3.3/6.8),0.868(1.3/1.4),1.7,9.6,2.9,2.3,1.9,0.6,1.3,1.30
99,Fred VanVleet,PG,HOU,10,34.7,0.353(4.2/11.9),0.852(2.3/2.7),2.8,13.5,3.9,4.4,1.5,0.4,1.0,1.29
100,DeMar DeRozan,"SF,PF",SAC,16,36.1,0.457(7.9/17.4),0.854(4.8/5.6),1.3,21.9,3.7,5.8,0.4,0.3,1.7,1.24
101,Aaron Nesmith,"SF,PF",IND,16,29.0,0.524(5.5/10.5),0.887(0.9/1.1),2.8,14.7,4.1,1.3,0.9,0.4,0.9,1.24
102,Alexandre Sarr,"PF,C",WAS,16,27.4,0.414(6.1/14.8),0.725(2.6/3.6),2.0,16.9,6.6,2.4,0.6,1.6,2.1,1.23
103,Naz Reid,"PF,C",MIN,14,30.2,0.424(5.6/13.1),0.360(0.4/1.0),2.8,14.3,6.8,3.2,1.1,0.9,1.6,1.15
104,Toumani Camara,"SG,SF,PF",POR,14,34.6,0.447(4.8/10.7),0.615(1.4/2.2),2.4,13.3,5.0,2.6,1.7,0.7,1.2,1.14
105,Zach LaVine,"SG,SF",SAC,15,36.1,0.524(7.4/14.1),0.843(2.5/2.9),2.7,19.9,3.5,3.5,0.5,0.1,3.0,1.14
106,Zach Edey,C,MEM,15,21.1,0.573(4.2/7.3),0.850(1.5/1.7),0.2,10.1,7.6,1.1,0.3,1.5,0.8,1.02
107,Aaron Gordon,"PF,C",DEN,9,28.6,0.589(5.9/10.0),0.805(3.7/4.6),2.6,18.0,4.8,2.9,0.2,0.1,1.9,1.01
108,Kyrie Irving,"PG,SG",DAL,2,23.9,0.407(5.5/13.5),1.000(7.0/7.0),1.0,19.0,3.0,2.0,0.5,0.0,1.5,0.95
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,N'Faly Dante,C,HOU,1,18.6,0.667(4.0/6.0),0.667(2.0/3.0),0.0,10.0,9.0,1.0,0.0,2.0,1.0,0.85
110,Killian Hayes,"PG,SG",BKN,2,28.0,0.429(3.0/7.0),1.000(3.0/3.0),1.0,10.0,4.0,3.5,1.0,0.5,1.5,0.80
111,Russell Westbrook,"PG,SG",DEN,16,29.9,0.427(5.5/12.9),0.637(1.6/2.6),1.8,14.4,4.8,6.2,1.6,0.6,3.9,0.73
112,P.J. Washington,"SF,PF",DAL,6,31.1,0.535(7.7/14.3),0.689(3.3/4.8),1.5,20.2,5.7,1.5,0.8,1.0,3.2,0.71
113,Caris LeVert,"SG,SF",ATL,11,27.0,0.496(6.2/12.5),0.698(1.3/1.8),2.1,15.7,3.0,3.4,1.1,0.5,1.0,0.70
114,Kessler Edwards,"SF,PF,C",DAL,10,27.2,0.594(3.8/6.4),0.900(0.9/1.0),1.4,9.9,4.5,1.7,0.8,0.8,0.7,0.70
115,Gary Payton II,"SG,SF",GS,11,21.0,0.643(4.9/7.6),0.703(0.5/0.6),1.2,11.5,4.0,1.4,1.3,0.4,0.5,0.62
116,Kelly Olynyk,"PF,C",NO,13,26.6,0.529(4.2/7.9),0.780(1.9/2.5),0.9,11.1,5.6,4.2,1.0,0.6,2.2,0.60
117,Mike Conley,PG,MIN,12,23.6,0.551(3.2/5.8),0.866(0.6/0.7),2.1,9.0,2.6,4.2,1.2,0.3,1.2,0.55
118,Payton Pritchard,"PG,SG",BOS,14,29.7,0.446(5.0/11.2),0.829(1.1/1.3),3.5,14.6,3.5,2.9,0.9,0.1,0.9,0.46
119,Justin Edwards,SF,PHI,14,30.8,0.470(5.6/11.9),0.760(1.4/1.8),2.1,14.6,3.6,1.8,1.3,0.6,1.4,0.43
120,Andrew Nembhard,"PG,SG",IND,17,30.8,0.474(3.9/8.2),0.808(1.5/1.8),1.1,10.4,3.5,6.1,1.1,0.4,1.6,0.35
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,Cole Anthony,PG,ORL,5,22.9,0.420(4.2/10.0),1.000(2.0/2.0),1.6,12.0,2.8,3.2,0.6,1.0,2.0,0.28
122,Keldon Johnson,"SG,SF,PF",SA,16,25.4,0.494(5.4/10.9),0.818(2.3/2.8),1.4,14.4,5.6,2.0,0.9,0.4,1.0,0.24
123,Nicolas Claxton,C,BKN,15,28.6,0.585(4.8/8.2),0.500(1.0/2.0),0.1,10.7,7.9,2.9,0.5,1.5,1.5,0.17
124,Justin Champagnie,"SG,SF",WAS,15,24.0,0.485(3.3/6.9),0.850(1.1/1.3),1.2,9.0,6.8,1.2,1.1,0.6,0.5,0.12
125,Kyle Filipowski,"PF,C",UTA,17,25.0,0.529(5.5/10.4),0.693(2.1/3.1),1.9,14.9,7.8,2.0,0.8,0.3,2.2,0.09
126,Chuma Okeke,"SF,PF",PHI,6,28.2,0.545(3.0/5.5),0.660(0.3/0.5),1.7,8.0,7.0,2.2,0.8,0.5,0.5,0.08
127,Matas Buzelis,"SF,PF",CHI,15,26.1,0.469(5.0/10.7),0.928(1.7/1.8),1.7,13.4,4.6,1.9,0.3,0.9,1.4,0.05
128,Chris Paul,PG,SA,16,25.6,0.506(2.9/5.7),0.684(0.1/0.2),1.9,7.8,2.9,6.3,0.9,0.3,1.5,-0.01
129,Shaedon Sharpe,"SG,SF",POR,15,35.0,0.462(7.3/15.9),0.805(2.5/3.1),1.9,19.0,5.9,2.9,0.8,0.1,2.5,-0.06
130,Jonas Valanciunas,C,SAC,16,20.6,0.511(4.1/7.9),0.852(1.4/1.7),0.0,9.6,8.6,2.3,0.6,0.8,1.1,-0.07
131,Isaiah Stewart,"PF,C",DET,14,18.9,0.667(2.9/4.3),0.695(1.1/1.6),0.2,7.1,4.9,1.6,0.5,1.7,0.9,-0.11
132,Ausar Thompson,"SF,PF",DET,15,22.5,0.533(4.3/8.1),0.717(1.7/2.3),0.2,10.5,5.0,2.1,1.4,0.9,1.5,-0.12
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,Spencer Dinwiddie,"PG,SG",DAL,15,32.4,0.455(5.1/11.3),0.719(3.1/4.3),1.5,14.8,3.3,6.2,1.2,0.3,1.7,-0.13
134,CJ McCollum,"PG,SG",NO,11,30.5,0.420(6.9/16.5),0.635(1.3/2.0),3.0,18.1,3.8,5.0,1.2,0.1,2.3,-0.18
135,Brandon Clarke,"PF,C",MEM,10,19.0,0.683(4.3/6.3),0.800(1.6/2.0),0.0,10.2,5.8,1.2,0.8,0.7,0.7,-0.19
136,Domantas Sabonis,C,SAC,7,25.4,0.483(4.1/8.6),0.715(2.9/4.0),0.1,11.3,10.4,4.9,0.9,0.3,2.1,-0.20
137,Bennedict Mathurin,"SG,SF",IND,12,26.5,0.423(4.8/11.4),0.882(4.9/5.6),1.5,16.1,4.9,1.8,0.8,0.2,2.0,-0.28
138,Alex Caruso,"SG,SF",OKC,12,19.0,0.549(3.3/5.9),0.803(1.7/2.1),1.1,9.3,2.8,2.2,1.1,0.8,0.9,-0.28
139,Matisse Thybulle,"SG,SF",POR,7,15.6,0.514(2.6/5.0),0.509(0.3/0.6),1.4,6.9,3.3,1.4,2.1,0.4,0.4,-0.30
140,Jared Rhoden,SF,TOR,5,29.1,0.431(4.4/10.2),0.833(3.0/3.6),1.6,13.4,5.2,1.2,1.2,0.4,1.2,-0.31
141,Cam Thomas,"SG,SF",BKN,6,27.8,0.410(8.0/19.5),0.907(3.3/3.7),2.3,21.7,2.5,5.0,0.2,0.2,1.8,-0.40
142,Zach Collins,"PF,C",CHI,15,20.4,0.585(3.7/6.3),0.864(1.3/1.5),0.7,9.3,6.5,1.9,0.5,0.7,1.5,-0.44
143,Jeff Dowtin Jr.,PG,PHI,13,21.5,0.574(5.1/8.9),0.775(1.3/1.7),1.4,12.8,2.2,2.5,0.8,0.5,0.8,-0.44
144,Kris Dunn,"PG,SG",LAC,14,25.6,0.466(2.9/6.1),1.000(0.4/0.4),0.9,7.0,3.0,3.2,1.6,0.5,0.8,-0.48
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
